numpoliza,numorden,rutbeneficiario,dvrutbeneficiario,apellidopaterno,apellidomaterno,nombres,sexo,tipobeneficiario,situacioninvalidez,fechanacimiento,edad,numdependentes,fechafallecimiento,fechainvalidez,derechopension,requisitopension,relacionhijomadre,fechanacimientohijomenor,derechoacrecer,porcentajepension,pensionpersona
95906896,1125104461,26677999,7,,,,M,41,N,,0,0,,,90,4,,,,,
41651818,1555198748,25076007,5,,,,F,11,N,,0,0,,,10,3,,,,,
38638929,1897159808,22333937,3,,,,F,52,T,,0,0,,,10,1,,,,,
80154275,2069690678,15429140,1,,,,M,20,P,,0,0,,,90,7,,,,,
43619055,1212460970,16850289,3,,,,F,35,P,,0,0,,,20,2,,,,,
81856892,1084165890,18659516,2,,,,M,42,N,,0,0,,,20,4,,,,,
24066107,1434869830,8442118,1,,,,M,21,N,,0,0,,,20,6,,,,,
66894178,2040932994,13281962,8,,,,F,30,T,,0,0,,,90,4,,,,,
87043095,2084177591,19194259,5,,,,F,10,N,,0,0,,,90,6,,,,,
46185905,2077530804,11856008,2,,,,F,30,P,,0,0,,,20,4,,,,,
6878073,1938754169,25529749,7,,,,M,41,P,,0,0,,,10,8,,,,,
35889742,1550442084,11130979,5,,,,M,52,T,,0,0,,,10,2,,,,,
68188839,1605601127,24449646,6,,,,M,11,N,,0,0,,,20,1,,,,,
16084050,1761406952,17766898,6,,,,M,,N,,0,0,,,90,5,,,,,
52556090,1217334007,25160387,1,,,,M,41,P,,0,0,,,20,1,,,,,
65368369,1313823941,11378968,1,,,,F,11,N,,0,0,,,90,5,,,,,
22825632,2118480508,7793162,1,,,,F,52,N,,0,0,,,10,5,,,,,
68925040,1070839374,13543027,7,,,,F,51,T,,0,0,,,90,2,,,,,
54291468,1695452202,24953772,4,,,,M,50,T,,0,0,,,90,1,,,,,
13537116,1572147971,20423534,1,,,,F,42,N,,0,0,,,90,4,,,,,
45302052,1320309403,17827750,6,,,,F,30,N,,0,0,,,10,3,,,,,
81373875,1648616586,17278752,2,,,,M,41,T,,0,0,,,20,8,,,,,
27662532,1196688591,10733759,2,,,,F,51,P,,0,0,,,10,3,,,,,
85284409,1148814394,15552535,8,,,,M,11,N,,0,0,,,10,4,,,,,
7257349,2114067518,24288891,5,,,,F,42,N,,0,0,,,90,2,,,,,
46420078,1414762704,12087127,5,,,,M,30,N,,0,0,,,10,1,,,,,
10862716,1669325118,20332581,7,,,,M,42,N,,0,0,,,10,1,,,,,
82342652,1660651499,9227689,3,,,,F,21,P,,0,0,,,10,5,,,,,
22932461,1690448240,26671623,6,,,,F,11,N,,0,0,,,90,8,,,,,
20226662,1854544821,22034623,8,,,,F,21,N,,0,0,,,20,7,,,,,
52881844,1998080507,15751440,4,,,,M,11,T,,0,0,,,20,3,,,,,
15976111,1908887210,15573559,7,,,,M,51,T,,0,0,,,20,6,,,,,
44115688,1026822744,25782524,6,,,,M,52,T,,0,0,,,20,6,,,,,
50749365,1109592631,15697402,3,,,,F,30,N,,0,0,,,20,7,,,,,
97475781,1159593214,18719206,5,,,,F,30,T,,0,0,,,90,2,,,,,
5351744,1391306796,27348742,5,,,,F,35,N,,0,0,,,90,5,,,,,
50228983,2004618170,25794218,4,,,,M,50,P,,0,0,,,10,6,,,,,
80200734,1927893853,26306358,1,,,,M,11,N,,0,0,,,20,6,,,,,
8925019,1254619768,14586790,3,,,,F,11,N,,0,0,,,10,4,,,,,
45468427,1289872821,8295516,5,,,,M,77,P,,0,0,,,20,8,,,,,
64854310,1777494982,10705212,6,,,,M,51,P,,0,0,,,20,3,,,,,
57637764,1234568381,23942068,1,,,,M,11,N,,0,0,,,20,3,,,,,
56312132,1161143272,16870595,1,,,,M,10,N,,0,0,,,10,1,,,,,
34155178,1038003056,21880343,2,,,,F,35,N,,0,0,,,20,1,,,,,
57630341,1031013425,17086671,7,,,,M,11,N,,0,0,,,90,7,,,,,
25794396,1498533064,19771467,2,,,,M,51,T,,0,0,,,20,5,,,,,
93513592,1489031708,16854069,4,,,,M,52,P,,0,0,,,90,5,,,,,
34322787,1849569625,25663290,5,,,,M,77,N,,0,0,,,10,4,,,,,
50091555,1148117085,16527402,5,,,,F,42,N,,0,0,,,20,7,,,,,
441932,1963058101,18432752,3,,,,F,50,T,,0,0,,,90,8,,,,,
81856454,1304974220,12648685,3,,,,F,20,T,,0,0,,,90,7,,,,,
36912746,1568480636,27211239,8,,,,F,35,N,,0,0,,,90,8,,,,,
91400975,2088414012,25571579,1,,,,F,35,T,,0,0,,,20,3,,,,,
45153098,1847231004,20292612,3,,,,M,52,N,,0,0,,,20,1,,,,,
88177317,1169106595,10772493,4,,,,F,51,P,,0,0,,,90,5,,,,,
58248296,2002442574,14433184,4,,,,M,41,P,,0,0,,,20,3,,,,,
70195361,1581572882,17840914,3,,,,M,51,P,,0,0,,,10,5,,,,,
5967913,2053672886,7272721,7,,,,M,42,T,,0,0,,,90,1,,,,,
69214966,1291240124,8204727,8,,,,F,77,T,,0,0,,,20,3,,,,,
80202443,1900249529,16957653,8,,,,M,35,N,,0,0,,,10,4,,,,,
68255821,1611943485,13194702,4,,,,M,30,T,,0,0,,,20,2,,,,,
36408177,1104483017,24229529,3,,,,F,21,N,,0,0,,,10,6,,,,,
83660345,1175269787,11381178,4,,,,F,41,N,,0,0,,,10,2,,,,,
20701305,1395532387,14792387,6,,,,F,52,N,,0,0,,,90,5,,,,,
97047390,1587013589,9402104,1,,,,F,21,N,,0,0,,,90,3,,,,,
86666001,1635533199,16585563,2,,,,F,11,N,,0,0,,,10,8,,,,,
89743475,1176499974,19933524,8,,,,M,41,P,,0,0,,,10,1,,,,,
62478359,1622382715,11993913,3,,,,M,10,N,,0,0,,,20,4,,,,,
72751649,1083715789,17559503,2,,,,M,42,T,,0,0,,,10,1,,,,,
5669954,1444613594,11530573,4,,,,M,,T,,0,0,,,10,7,,,,,
62406917,1123342430,24372182,8,,,,M,52,N,,0,0,,,90,6,,,,,
44857058,1607058441,25588194,4,,,,M,77,P,,0,0,,,90,6,,,,,
20960793,1979628589,10817265,1,,,,M,10,T,,0,0,,,20,6,,,,,
47840811,2022893744,25360948,3,,,,F,,P,,0,0,,,10,8,,,,,
41001588,1829431029,22974024,5,,,,M,10,T,,0,0,,,10,4,,,,,
65218997,1873336049,20022326,7,,,,M,21,T,,0,0,,,20,1,,,,,
67763631,1793671433,15660106,5,,,,M,35,P,,0,0,,,10,3,,,,,
62911700,2044734028,23060816,3,,,,M,41,N,,0,0,,,10,2,,,,,
83309907,1509558622,11826479,6,,,,M,30,T,,0,0,,,90,8,,,,,
54791245,1821131090,8911484,2,,,,M,51,T,,0,0,,,90,4,,,,,
30270460,1426636910,27719016,1,,,,M,50,T,,0,0,,,20,7,,,,,
60456065,1352369636,19123691,3,,,,M,50,T,,0,0,,,20,6,,,,,
63161839,2126379938,11690350,2,,,,F,35,N,,0,0,,,90,3,,,,,
24071568,1386235917,26296991,7,,,,M,42,P,,0,0,,,10,2,,,,,
76859062,2094196561,17117776,5,,,,M,11,T,,0,0,,,90,3,,,,,
47409142,2009789814,14611456,7,,,,F,20,N,,0,0,,,20,7,,,,,
8002353,1465063479,14128276,4,,,,F,77,N,,0,0,,,90,2,,,,,
82196888,2029378453,16492636,7,,,,M,10,N,,0,0,,,90,6,,,,,
33467695,2106032262,16458484,4,,,,M,21,P,,0,0,,,10,6,,,,,
42814013,1620722762,15457100,2,,,,F,11,N,,0,0,,,90,7,,,,,
85053906,1632170083,18306018,3,,,,F,10,T,,0,0,,,90,4,,,,,
9379627,1877530198,27935287,8,,,,M,20,T,,0,0,,,90,4,,,,,
75111878,1736284235,7607726,3,,,,F,30,P,,0,0,,,10,5,,,,,
48863332,1857560456,19560148,7,,,,F,10,P,,0,0,,,20,8,,,,,
22494862,2006425187,13510608,3,,,,F,10,N,,0,0,,,90,6,,,,,
53014972,2025592990,23470886,3,,,,M,50,P,,0,0,,,10,2,,,,,
46766735,2061717038,17795002,3,,,,F,,P,,0,0,,,90,8,,,,,
93450331,1897491365,23691856,1,,,,M,20,P,,0,0,,,90,2,,,,,
47987862,2055947822,8558300,1,,,,F,11,P,,0,0,,,20,5,,,,,
24614030,1846729893,24557756,6,,,,M,30,P,,0,0,,,90,5,,,,,
14493654,1213009574,24830095,5,,,,F,50,N,,0,0,,,10,3,,,,,
45015768,1955336267,7836397,3,,,,M,52,P,,0,0,,,20,8,,,,,
95496890,1155124210,18583869,2,,,,F,,N,,0,0,,,10,3,,,,,
52547408,1093571964,26302868,2,,,,M,11,P,,0,0,,,90,3,,,,,
42663736,1954134125,15215931,6,,,,M,20,P,,0,0,,,20,4,,,,,
30990890,1086184746,25764596,1,,,,M,42,T,,0,0,,,20,1,,,,,
95177958,1349700554,17683920,3,,,,M,50,P,,0,0,,,10,4,,,,,
82112511,1883276794,9730145,7,,,,F,42,T,,0,0,,,10,5,,,,,
53491054,1204286154,19871533,3,,,,F,30,P,,0,0,,,20,3,,,,,
67208956,1234275290,16216617,2,,,,F,10,P,,0,0,,,90,5,,,,,
72929770,1321320396,8724327,8,,,,M,35,T,,0,0,,,90,5,,,,,
61978067,1286921002,27335615,6,,,,M,51,N,,0,0,,,10,8,,,,,
18520789,1571788650,16535054,4,,,,M,35,T,,0,0,,,20,3,,,,,
18988006,1816083578,25489239,3,,,,F,41,P,,0,0,,,10,1,,,,,
12097502,1202648304,24107058,2,,,,F,50,T,,0,0,,,10,1,,,,,
1093052,1863629997,25633171,4,,,,M,10,P,,0,0,,,20,3,,,,,
559634,1939528546,23395159,7,,,,F,42,N,,0,0,,,20,3,,,,,
20790062,1972773429,14024539,5,,,,F,10,N,,0,0,,,20,6,,,,,
86273852,1218516628,25262405,4,,,,M,77,T,,0,0,,,90,3,,,,,
31310039,1487844636,23990921,4,,,,F,,P,,0,0,,,90,8,,,,,
59113205,1338562695,21318746,1,,,,F,30,P,,0,0,,,10,3,,,,,
26010157,1585897011,26243656,8,,,,F,20,N,,0,0,,,10,2,,,,,
78858508,1638010497,7526972,7,,,,M,20,N,,0,0,,,90,8,,,,,
43848319,1014618614,12995031,6,,,,M,,N,,0,0,,,20,1,,,,,
98544342,1427771881,18593204,5,,,,F,50,P,,0,0,,,10,1,,,,,
45470869,1145064004,25706100,1,,,,F,77,T,,0,0,,,10,7,,,,,
88357384,1117780182,17144103,6,,,,M,,N,,0,0,,,90,2,,,,,
6704794,1692342395,7829055,2,,,,F,52,T,,0,0,,,10,3,,,,,
60356106,1016767731,24311102,7,,,,F,35,P,,0,0,,,10,6,,,,,
89555781,1355249600,21009319,1,,,,M,20,T,,0,0,,,10,8,,,,,
38232116,1080229317,24314698,1,,,,M,50,T,,0,0,,,20,7,,,,,
90692176,1875528187,25371139,8,,,,M,10,T,,0,0,,,10,2,,,,,
57573713,1497691860,9996474,5,,,,M,77,N,,0,0,,,20,3,,,,,
65544484,1166208564,16377043,8,,,,F,35,T,,0,0,,,20,5,,,,,
39643518,1601200340,22940910,2,,,,F,11,T,,0,0,,,10,6,,,,,
65544271,1855220951,12366805,8,,,,F,35,N,,0,0,,,20,7,,,,,
38109638,1426917083,11769124,4,,,,F,,T,,0,0,,,10,3,,,,,
68375743,1044416806,22521857,7,,,,M,51,N,,0,0,,,90,2,,,,,
48990178,1516900760,23527413,7,,,,F,52,N,,0,0,,,90,1,,,,,
6371928,1028675482,15032268,8,,,,F,11,N,,0,0,,,20,3,,,,,
92994754,1024803020,18929579,2,,,,M,35,P,,0,0,,,10,1,,,,,
27445694,1725595502,22354856,6,,,,M,21,T,,0,0,,,90,3,,,,,
99351676,1550865924,21199533,4,,,,M,30,T,,0,0,,,10,5,,,,,
58638968,1055190781,24981165,2,,,,M,51,P,,0,0,,,10,3,,,,,
38612191,1826015565,9336644,2,,,,M,50,T,,0,0,,,20,7,,,,,
16620129,1405490490,19064121,5,,,,F,51,N,,0,0,,,20,3,,,,,
70977447,1281836011,10185897,7,,,,M,42,T,,0,0,,,10,5,,,,,
90700659,1018136486,13186599,3,,,,M,41,N,,0,0,,,10,5,,,,,
86321823,2137007253,21532099,5,,,,M,41,N,,0,0,,,20,1,,,,,
24149774,2116503967,15359503,1,,,,F,41,N,,0,0,,,90,4,,,,,
88376194,1027315079,20993951,2,,,,F,20,P,,0,0,,,90,7,,,,,
59219101,1763613413,13024439,2,,,,F,52,P,,0,0,,,20,4,,,,,
58710229,2011674293,8174956,8,,,,F,51,P,,0,0,,,10,4,,,,,
22708916,1610271488,23944311,8,,,,F,41,N,,0,0,,,20,2,,,,,
87186288,1942333940,23822494,7,,,,F,35,T,,0,0,,,20,6,,,,,
13977340,1882467562,8810204,2,,,,M,20,P,,0,0,,,10,4,,,,,
97688647,1612592935,8311807,3,,,,M,10,P,,0,0,,,90,4,,,,,
47750336,1645444684,10834101,2,,,,F,10,P,,0,0,,,20,4,,,,,
52500733,1517476194,21043685,8,,,,M,50,T,,0,0,,,10,2,,,,,
16354786,1135876801,24302153,7,,,,F,35,N,,0,0,,,90,8,,,,,
17559729,1776767495,19653232,1,,,,M,11,P,,0,0,,,90,7,,,,,
82347308,1127415545,18169016,6,,,,F,50,T,,0,0,,,90,5,,,,,
28693657,1746022244,7440100,3,,,,M,52,P,,0,0,,,10,6,,,,,
55341071,1881750566,17399630,3,,,,F,21,P,,0,0,,,10,4,,,,,
67419570,1971556298,27965500,2,,,,M,11,P,,0,0,,,20,1,,,,,
39301722,1912737850,13698627,1,,,,M,10,P,,0,0,,,90,1,,,,,
33053040,1702907573,27436789,2,,,,F,,P,,0,0,,,90,7,,,,,
10751107,1647622365,14201301,3,,,,M,21,P,,0,0,,,10,6,,,,,
52633986,1802353204,9243603,8,,,,F,21,N,,0,0,,,20,8,,,,,
81154583,1357080082,21106220,3,,,,M,41,N,,0,0,,,10,4,,,,,
58519493,1382519494,11467520,6,,,,F,20,P,,0,0,,,10,4,,,,,
40175183,1153080165,16514005,1,,,,F,20,T,,0,0,,,20,1,,,,,
85223515,1574974450,18112166,6,,,,F,52,N,,0,0,,,20,7,,,,,
62447661,1550604713,17851779,7,,,,M,52,T,,0,0,,,90,7,,,,,
71502882,1544635816,12768929,7,,,,F,52,P,,0,0,,,90,6,,,,,
25974188,1961526327,14533986,2,,,,M,51,P,,0,0,,,20,2,,,,,
53491319,1056787734,24306994,5,,,,M,35,T,,0,0,,,20,1,,,,,
60488172,2038732634,24025985,4,,,,M,11,T,,0,0,,,20,1,,,,,
22672514,1411066227,12461527,4,,,,M,51,P,,0,0,,,20,4,,,,,
40908357,1536528560,22420569,1,,,,M,50,T,,0,0,,,20,7,,,,,
84329541,1224803993,22733615,3,,,,F,42,T,,0,0,,,20,6,,,,,
20931177,1810428463,19601916,3,,,,F,20,P,,0,0,,,90,1,,,,,
5560725,1570963421,15536543,6,,,,F,10,T,,0,0,,,20,7,,,,,
21098603,1296339749,15713513,6,,,,F,42,T,,0,0,,,20,3,,,,,
49197794,1564005188,18076859,4,,,,F,77,N,,0,0,,,90,4,,,,,
34816956,2107294565,21579634,8,,,,M,42,P,,0,0,,,90,3,,,,,
75236881,1246431870,15223462,8,,,,M,21,P,,0,0,,,90,5,,,,,
99988191,1949436341,26079190,2,,,,F,42,N,,0,0,,,90,7,,,,,
47432426,1293095958,8488180,8,,,,F,11,N,,0,0,,,90,1,,,,,
66117842,1352732683,23215786,1,,,,F,35,N,,0,0,,,90,5,,,,,
53441301,1123101603,21582085,1,,,,M,21,P,,0,0,,,20,3,,,,,
29014882,1114505647,26132464,7,,,,M,35,N,,0,0,,,20,8,,,,,
43326394,1516274958,12358190,4,,,,M,30,P,,0,0,,,90,7,,,,,
57474198,1881105102,18150200,3,,,,M,10,P,,0,0,,,20,7,,,,,
24578510,2128744350,17194518,1,,,,F,42,P,,0,0,,,20,6,,,,,
71390575,1295500581,12590844,7,,,,F,42,N,,0,0,,,10,2,,,,,
4109635,1634758241,14205222,3,,,,F,77,N,,0,0,,,90,3,,,,,
5382524,1378979114,7257574,8,,,,F,41,T,,0,0,,,20,6,,,,,
47293317,1179259587,24087325,1,,,,F,20,N,,0,0,,,10,8,,,,,
71502127,1559729784,16341673,7,,,,F,10,P,,0,0,,,90,2,,,,,
78538301,1230182495,11473844,7,,,,M,42,T,,0,0,,,10,3,,,,,
10128434,1851997524,25143093,5,,,,M,51,N,,0,0,,,20,4,,,,,
43474561,1526285288,13171549,4,,,,F,42,N,,0,0,,,10,7,,,,,
27686514,1935917457,7788788,7,,,,M,52,P,,0,0,,,20,1,,,,,
37084280,1718050338,14239785,8,,,,F,20,P,,0,0,,,20,6,,,,,
12716344,1116451911,23204195,5,,,,M,,P,,0,0,,,10,2,,,,,
34463345,1137367631,19397493,4,,,,M,30,T,,0,0,,,10,4,,,,,
57439838,2078196135,26228034,1,,,,F,30,N,,0,0,,,20,3,,,,,
47392209,2065826016,25902190,1,,,,F,10,N,,0,0,,,90,5,,,,,
36426905,1592348411,27840175,3,,,,M,35,T,,0,0,,,20,8,,,,,
33963504,1029047630,11284084,5,,,,M,21,N,,0,0,,,20,1,,,,,
86974191,1187144752,9562500,5,,,,F,,P,,0,0,,,90,8,,,,,
56608639,1753090381,18668598,2,,,,M,41,T,,0,0,,,90,4,,,,,
77469269,1533708417,18853968,7,,,,F,35,N,,0,0,,,10,2,,,,,
20759839,1893081251,9790994,2,,,,M,51,P,,0,0,,,20,3,,,,,
4466454,1572067629,20288807,1,,,,F,10,T,,0,0,,,20,2,,,,,
25739564,1198454104,14238153,1,,,,F,10,T,,0,0,,,10,8,,,,,
13940389,1467405659,14360445,1,,,,M,35,T,,0,0,,,90,2,,,,,
29734572,2026002814,17927074,2,,,,F,30,T,,0,0,,,90,8,,,,,
14865069,1579471905,25201773,8,,,,M,50,T,,0,0,,,90,5,,,,,
78412062,1196694187,17395850,6,,,,M,11,N,,0,0,,,10,5,,,,,
45086383,1576161562,8067534,4,,,,M,30,T,,0,0,,,90,1,,,,,
72061908,1368174935,11275595,2,,,,M,11,P,,0,0,,,90,7,,,,,
63879304,1310765625,22407076,6,,,,M,30,T,,0,0,,,90,7,,,,,
65455635,1417218747,15845293,7,,,,F,42,P,,0,0,,,90,8,,,,,
99456820,1946692341,23193658,4,,,,M,51,N,,0,0,,,20,6,,,,,
59281488,1414030433,15563423,7,,,,M,11,N,,0,0,,,20,7,,,,,
77637993,1851796994,18444360,6,,,,F,41,P,,0,0,,,10,8,,,,,
40958227,1785247698,22519798,8,,,,F,52,P,,0,0,,,10,6,,,,,
63346286,1041085401,24295337,4,,,,M,30,N,,0,0,,,90,2,,,,,
50873184,1284756885,27834297,8,,,,M,77,N,,0,0,,,10,7,,,,,
85237632,1215342034,27815973,1,,,,F,77,P,,0,0,,,90,1,,,,,
40638830,2029325446,26050863,8,,,,F,10,N,,0,0,,,90,8,,,,,
33976486,2049579465,11962422,8,,,,M,,T,,0,0,,,90,3,,,,,
92954549,1806110277,27358874,4,,,,M,42,P,,0,0,,,90,3,,,,,
38408942,1426318781,19400789,1,,,,F,52,T,,0,0,,,90,3,,,,,
92303047,1183583996,20765057,7,,,,M,77,P,,0,0,,,20,3,,,,,
2255169,1975375061,27512959,8,,,,F,77,P,,0,0,,,20,8,,,,,
807886,1273238970,24744008,4,,,,F,42,P,,0,0,,,20,8,,,,,
95941837,1358784706,8203831,7,,,,M,21,N,,0,0,,,10,4,,,,,
7785775,1978601253,18932788,1,,,,F,21,T,,0,0,,,90,3,,,,,
66180398,1487503620,20597401,8,,,,M,51,P,,0,0,,,90,5,,,,,
60666813,1120131699,7602781,8,,,,F,11,P,,0,0,,,90,6,,,,,
15763017,2017658764,23128277,7,,,,F,42,T,,0,0,,,10,4,,,,,
67633804,1971681992,15222190,2,,,,F,,P,,0,0,,,20,8,,,,,
19884139,1292230859,27095345,1,,,,M,,N,,0,0,,,10,8,,,,,
90161038,1122089472,17326206,2,,,,F,21,P,,0,0,,,20,8,,,,,
81339869,1701241703,14319525,5,,,,F,51,N,,0,0,,,10,4,,,,,
78121413,1163504652,19001853,7,,,,M,42,T,,0,0,,,20,7,,,,,
86770347,1102264513,17264004,6,,,,F,,P,,0,0,,,20,3,,,,,
13591324,1085875234,10215418,6,,,,M,,N,,0,0,,,90,8,,,,,
29126905,1825767429,21866525,6,,,,M,52,T,,0,0,,,10,3,,,,,
12025661,1130836070,17064987,1,,,,F,10,T,,0,0,,,20,4,,,,,
88320196,1411635384,16181335,6,,,,F,,T,,0,0,,,20,6,,,,,
84239120,1899475303,11219489,8,,,,M,30,P,,0,0,,,90,4,,,,,
20519206,1802771172,7719812,2,,,,F,20,T,,0,0,,,10,4,,,,,
87066438,1696211402,24290357,2,,,,F,30,N,,0,0,,,20,4,,,,,
72292364,1583929592,20335738,7,,,,M,,N,,0,0,,,90,8,,,,,
59268049,2082970390,11923119,6,,,,M,35,P,,0,0,,,20,5,,,,,
58396287,1997670080,13903506,2,,,,F,21,N,,0,0,,,20,4,,,,,
39537798,1021602638,13469795,5,,,,M,11,P,,0,0,,,90,8,,,,,
96435606,2124499853,11990849,8,,,,F,42,T,,0,0,,,90,7,,,,,
92414090,1408118130,8217141,5,,,,F,,P,,0,0,,,20,6,,,,,
2096995,1021700406,24470441,4,,,,M,35,T,,0,0,,,90,3,,,,,
66155247,2045766521,14643201,8,,,,M,21,P,,0,0,,,20,1,,,,,
29292267,2081742126,15044048,5,,,,F,42,P,,0,0,,,20,6,,,,,
46194822,1892942143,11555674,2,,,,M,20,N,,0,0,,,10,7,,,,,
1969660,1199382301,15240720,2,,,,F,21,N,,0,0,,,10,4,,,,,
90290071,2084059573,18391610,1,,,,F,50,P,,0,0,,,20,5,,,,,
44600068,1770140300,25809035,6,,,,F,35,P,,0,0,,,20,1,,,,,
38243925,1240716296,14635298,2,,,,F,21,N,,0,0,,,20,2,,,,,
21136397,1738158976,13570711,5,,,,F,20,N,,0,0,,,90,3,,,,,
78955188,1711552971,26737502,3,,,,M,,P,,0,0,,,20,3,,,,,
65303542,1791719981,10455100,6,,,,M,41,P,,0,0,,,90,8,,,,,
24041422,2010341849,21422737,4,,,,M,20,T,,0,0,,,10,2,,,,,
2788476,1075156281,19002588,2,,,,M,50,P,,0,0,,,90,4,,,,,
3887539,1711383159,20771038,4,,,,M,30,P,,0,0,,,10,1,,,,,
14218302,1298388368,21748344,5,,,,M,51,N,,0,0,,,10,7,,,,,
34676610,1899688434,9876426,1,,,,M,20,P,,0,0,,,10,6,,,,,
36881037,1471130717,20615982,6,,,,M,11,T,,0,0,,,20,8,,,,,
52985255,2038848247,16051958,5,,,,F,11,T,,0,0,,,10,1,,,,,
97093122,1894135010,13574829,3,,,,F,42,P,,0,0,,,20,8,,,,,
94083234,1412029184,14094666,8,,,,M,,T,,0,0,,,10,6,,,,,
77558704,2068791635,19633086,6,,,,F,50,T,,0,0,,,90,7,,,,,
50496399,1842946505,21219227,4,,,,M,35,T,,0,0,,,10,7,,,,,
91580168,1435699258,17279825,2,,,,F,11,N,,0,0,,,90,5,,,,,
59087508,1989025435,18231923,6,,,,M,11,T,,0,0,,,90,4,,,,,
38341310,1662772002,24367822,3,,,,M,41,T,,0,0,,,10,8,,,,,
75713556,1082250919,21380398,2,,,,F,11,N,,0,0,,,20,1,,,,,
79192380,1886482309,8957185,8,,,,F,21,P,,0,0,,,10,3,,,,,
87456838,1815026903,9323105,4,,,,F,10,T,,0,0,,,90,3,,,,,
41899813,1816549015,23271929,1,,,,M,51,P,,0,0,,,90,2,,,,,
74247868,1365551903,7933548,2,,,,M,41,T,,0,0,,,10,8,,,,,
35114056,1780546918,23983397,1,,,,M,30,N,,0,0,,,20,4,,,,,
43144030,1876518000,21014334,2,,,,F,77,P,,0,0,,,90,1,,,,,
85103965,1051879077,14667275,3,,,,M,30,N,,0,0,,,10,1,,,,,
13332728,1975028356,15984940,2,,,,F,21,P,,0,0,,,20,2,,,,,
615634,1484330053,19732493,5,,,,F,11,P,,0,0,,,90,8,,,,,
92800095,1502327011,27074673,6,,,,F,52,P,,0,0,,,20,8,,,,,
94936361,1768903491,18247481,6,,,,M,30,T,,0,0,,,90,7,,,,,
66645889,1901050096,14539517,6,,,,F,30,T,,0,0,,,90,8,,,,,
70771832,2137717835,17479089,3,,,,F,52,N,,0,0,,,90,5,,,,,
30056346,1729078755,20783316,8,,,,M,11,N,,0,0,,,10,2,,,,,
9711444,1464324005,13244090,4,,,,M,,T,,0,0,,,10,1,,,,,
42310096,1565873943,24313010,2,,,,F,10,P,,0,0,,,20,3,,,,,
80815523,1574584779,8302121,1,,,,F,52,T,,0,0,,,20,5,,,,,
70025876,2084811068,15463736,8,,,,M,77,T,,0,0,,,10,7,,,,,
57124528,1963980557,12002981,2,,,,F,41,T,,0,0,,,20,6,,,,,
2665535,2132829111,17225318,3,,,,F,,P,,0,0,,,20,1,,,,,
71775762,1537435528,9781001,7,,,,M,11,N,,0,0,,,20,3,,,,,
